Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,Hallspannung,,Längsspannung,,Temperatur,
2026-05-19,15:14:54.367325,1779196494.367325,s,185.014207,s,10.6796875,mV,1.5596250295639038,V,86.48750305175781,°C
2026-05-19,15:14:59.377111,1779196499.377111,s,190.023993,s,11.96875,mV,1.5850000381469727,V,85.375,°C
2026-05-19,15:15:04.367835,1779196504.367835,s,195.014717,s,13.2890625,mV,1.6085000038146973,V,84.2874984741211,°C
2026-05-19,15:15:09.378333,1779196509.378333,s,200.025215,s,14.5234375,mV,1.6301250457763672,V,83.2249984741211,°C
2026-05-19,15:15:14.368303,1779196514.368303,s,205.015185,s,15.71875,mV,1.6507500410079956,V,82.1875,°C
2026-05-19,15:15:19.378831,1779196519.378831,s,210.025713,s,16.875,mV,1.6687500476837158,V,81.17500305175781,°C
2026-05-19,15:15:24.368791,1779196524.368791,s,215.015673,s,17.9921875,mV,1.6851249933242798,V,80.1500015258789,°C
2026-05-19,15:15:29.379312,1779196529.379312,s,220.026194,s,19.0703125,mV,1.7000000476837158,V,79.1875,°C
2026-05-19,15:15:34.369327,1779196534.369327,s,225.016209,s,20.140625,mV,1.7133749723434448,V,78.25,°C
2026-05-19,15:15:39.379747,1779196539.379747,s,230.026629,s,21.109375,mV,1.7253750562667847,V,77.3375015258789,°C
2026-05-19,15:15:44.369814,1779196544.369814,s,235.016696,s,22.0390625,mV,1.7363749742507935,V,76.4375,°C
2026-05-19,15:15:49.380079,1779196549.380079,s,240.026961,s,22.9140625,mV,1.7457499504089355,V,75.5625,°C
2026-05-19,15:15:54.370916,1779196554.370916,s,245.017798,s,23.75,mV,1.7541249990463257,V,74.67500305175781,°C
2026-05-19,15:15:59.381246,1779196559.381246,s,250.028128,s,24.5625,mV,1.7611249685287476,V,73.8375015258789,°C
2026-05-19,15:16:04.371407,1779196564.371407,s,255.018289,s,25.3671875,mV,1.7671250104904175,V,73.0374984741211,°C
2026-05-19,15:16:09.381988,1779196569.381988,s,260.02887,s,26.078125,mV,1.7723749876022339,V,72.23750305175781,°C
2026-05-19,15:16:14.371774,1779196574.371774,s,265.018656,s,26.7421875,mV,1.7767499685287476,V,71.4625015258789,°C
2026-05-19,15:16:19.383393,1779196579.383393,s,270.030275,s,27.375,mV,1.7803750038146973,V,70.69999694824219,°C
2026-05-19,15:16:24.372107,1779196584.372107,s,275.018989,s,27.953125,mV,1.7833750247955322,V,69.9375,°C
2026-05-19,15:16:29.383961,1779196589.383961,s,280.030843,s,28.4921875,mV,1.7857500314712524,V,69.2125015258789,°C
2026-05-19,15:16:34.372500,1779196594.3725,s,285.019382,s,29.015625,mV,1.787500023841858,V,68.5,°C
2026-05-19,15:16:39.385282,1779196599.385282,s,290.032164,s,29.46875,mV,1.7888749837875366,V,67.8125,°C
2026-05-19,15:16:44.372971,1779196604.372971,s,295.019853,s,29.90625,mV,1.7897499799728394,V,67.13749694824219,°C
2026-05-19,15:16:49.385773,1779196609.385773,s,300.032655,s,30.3203125,mV,1.7899999618530273,V,66.4749984741211,°C
2026-05-19,15:16:54.373341,1779196614.373341,s,305.020223,s,30.703125,mV,1.7901250123977661,V,65.80000305175781,°C
2026-05-19,15:16:59.386249,1779196619.386249,s,310.033131,s,31.0625,mV,1.7896250486373901,V,65.1624984741211,°C
2026-05-19,15:17:04.374488,1779196624.374488,s,315.02137,s,31.4375,mV,1.7890000343322754,V,64.55000305175781,°C
2026-05-19,15:17:09.387287,1779196629.387287,s,320.034169,s,31.7734375,mV,1.7879999876022339,V,63.95000076293945,°C
2026-05-19,15:17:14.375020,1779196634.37502,s,325.021902,s,32.078125,mV,1.7866250276565552,V,63.36249923706055,°C
2026-05-19,15:17:19.387756,1779196639.387756,s,330.034638,s,32.3515625,mV,1.7851250171661377,V,62.787498474121094,°C
2026-05-19,15:17:24.375418,1779196644.375418,s,335.0223,s,32.6015625,mV,1.7833750247955322,V,62.1875,°C
2026-05-19,15:17:29.389044,1779196649.389044,s,340.035926,s,32.8359375,mV,1.781499981880188,V,61.63750076293945,°C
2026-05-19,15:17:34.376728,1779196654.376728,s,345.02361,s,33.0546875,mV,1.7795000076293945,V,61.099998474121094,°C
2026-05-19,15:17:39.390174,1779196659.390174,s,350.037056,s,33.25,mV,1.777500033378601,V,60.5625,°C
2026-05-19,15:17:44.377283,1779196664.377283,s,355.024165,s,33.4296875,mV,1.7751250267028809,V,60.04999923706055,°C
2026-05-19,15:17:49.390527,1779196669.390527,s,360.037409,s,33.6015625,mV,1.7728749513626099,V,59.54999923706055,°C
2026-05-19,15:17:54.377799,1779196674.377799,s,365.024681,s,33.7734375,mV,1.7702499628067017,V,59.025001525878906,°C
2026-05-19,15:17:59.391822,1779196679.391822,s,370.038704,s,33.96875,mV,1.7675000429153442,V,58.54999923706055,°C
2026-05-19,15:18:04.378337,1779196684.378337,s,375.025219,s,34.125,mV,1.7647500038146973,V,58.07500076293945,°C
2026-05-19,15:18:09.392167,1779196689.392167,s,380.039049,s,34.265625,mV,1.7619999647140503,V,57.599998474121094,°C
2026-05-19,15:18:14.378815,1779196694.378815,s,385.025697,s,34.3984375,mV,1.759124994277954,V,57.150001525878906,°C
2026-05-19,15:18:19.393328,1779196699.393328,s,390.04021,s,34.5234375,mV,1.756250023841858,V,56.712501525878906,°C
2026-05-19,15:18:24.379315,1779196704.379315,s,395.026197,s,34.640625,mV,1.753499984741211,V,56.25,°C
2026-05-19,15:18:29.394337,1779196709.394337,s,400.041219,s,34.7421875,mV,1.7506250143051147,V,55.82500076293945,°C
2026-05-19,15:18:34.380733,1779196714.380733,s,405.027615,s,34.84375,mV,1.7478749752044678,V,55.412498474121094,°C
2026-05-19,15:18:39.394694,1779196719.394694,s,410.041576,s,34.9296875,mV,1.7450000047683716,V,55.0,°C
2026-05-19,15:18:44.381251,1779196724.381251,s,415.028133,s,35.0078125,mV,1.7419999837875366,V,54.599998474121094,°C
2026-05-19,15:18:49.395617,1779196729.395617,s,420.042499,s,35.078125,mV,1.7392499446868896,V,54.212501525878906,°C
2026-05-19,15:18:54.381712,1779196734.381712,s,425.028594,s,35.140625,mV,1.7363749742507935,V,53.8125,°C
2026-05-19,15:18:59.396477,1779196739.396477,s,430.043359,s,35.1953125,mV,1.733625054359436,V,53.4375,°C
