time (us),channelA(V),channelB(V),channelB(V)
0,0.05,1.35,-0.35
2,0.05,1.1,-0.45
4,0.05,0.8,-0.45
6,0.05,0.55,-0.45
8,0.05,0.2,-0.45
10,0.1,-0.05,-0.45
12,0.1,-0.3,-0.45
14,0.1,-0.6,-0.45
16,0.1,-0.9,-0.45
18,0.1,-1.15,-0.45
20,0.1,-1.45,-0.45
22,0.1,-1.55,-0.45
24,0.1,-1.7,-0.45
26,0.1,-1.75,-0.45
28,0.1,-1.75,-0.45
30,0.1,-1.75,-0.45
32,0.05,-1.75,-0.45
34,0.05,-1.7,-0.45
36,0.05,-1.7,-0.45
38,0.05,-1.7,-0.45
40,0.05,-1.7,-0.45
42,0.0,-1.7,-0.45
44,0.0,-1.65,-0.45
46,0.0,-1.55,-0.45
48,0.0,-1.45,-0.45
50,-0.05,-1.35,-0.45
52,-0.05,-1.15,-0.4
54,-0.05,-1.0,-0.4
56,-0.05,-0.75,-0.35
58,-0.1,-0.45,-0.3
60,-0.1,-0.25,-0.25
62,-0.1,0.0,-0.15
64,-0.1,0.3,-0.05
66,-0.1,0.55,0.05
68,-0.1,0.85,0.15
70,-0.1,1.1,0.3
72,-0.1,1.3,0.4
74,-0.1,1.55,0.5
76,-0.1,1.7,0.6
78,-0.1,1.8,0.65
80,-0.1,2.05,0.7
82,-0.05,2.15,0.75
84,-0.05,2.15,0.75
86,-0.05,2.2,0.7
88,-0.05,2.15,0.6
90,-0.05,2.05,0.5
92,0.0,2.05,0.35
94,0.0,1.9,0.2
96,0.0,1.75,0.05
98,0.0,1.55,-0.15
100,0.05,1.35,-0.35
102,0.05,1.05,-0.45
104,0.05,0.85,-0.45
106,0.05,0.55,-0.45
108,0.05,0.25,-0.45
110,0.1,-0.05,-0.45
112,0.1,-0.35,-0.45
114,0.1,-0.65,-0.45
116,0.1,-0.85,-0.45
118,0.1,-1.15,-0.45
120,0.1,-1.4,-0.45
122,0.1,-1.6,-0.45
124,0.1,-1.7,-0.45
126,0.1,-1.7,-0.45
128,0.1,-1.75,-0.45
130,0.1,-1.75,-0.45
132,0.05,-1.75,-0.45
134,0.05,-1.75,-0.45
136,0.05,-1.75,-0.45
138,0.05,-1.7,-0.45
140,0.05,-1.7,-0.45
142,0.0,-1.7,-0.45
144,0.0,-1.65,-0.45
146,0.0,-1.55,-0.45
148,-0.05,-1.5,-0.45
150,-0.05,-1.3,-0.45
152,-0.05,-1.15,-0.4
154,-0.05,-1.0,-0.4
156,-0.05,-0.75,-0.4
158,-0.1,-0.5,-0.35
160,-0.1,-0.3,-0.25
162,-0.1,0.05,-0.15
164,-0.1,0.3,-0.05
166,-0.1,0.55,0.05
168,-0.1,0.85,0.15
170,-0.1,1.05,0.3
172,-0.1,1.3,0.4
174,-0.1,1.55,0.5
