Capture_5:205,Unnamed: 7
350,-4.97304
351,1.86047
352,-6.44266
353,3.03864
354,6.51659
355,1.64604
356,0.1785
357,1.74632
358,5.10809
359,2.32852
360,8.40178
361,1.22224
362,1.16933
363,0.39645
364,2.97561
365,17.81662
366,1.41238
367,0.92725
368,6.51471
369,8.32757
370,1.47282
371,6.56652
372,4.10551
373,16.76951
374,5.62158
375,5.98801
376,6.60479
377,2.63513
378,1.58652
379,4.41219
380,8.77949
381,11.48017
382,0.66477
383,-0.46035
384,1.59294
385,-3.41178
386,5.66499
387,-2.82619
388,7.06398
389,6.72919
390,3.92446
391,4.36879
392,4.54804
393,4.87713
394,-0.978
395,7.15867
396,2.73522
397,1.8457
398,5.58816
399,1.60532
400,2.37409
401,5.03472
402,5.01741
403,10.90795
404,-0.6755
405,7.07671
406,0.90332
407,-1.33112
408,-1.32227
409,-0.32452
410,6.67419
411,4.78586
412,4.45141
413,5.49981
414,2.3238
415,3.73944
416,16.77407
417,7.54079
418,2.67847
419,2.25682
420,7.06957
421,3.81993
422,2.64956
423,-0.21703
424,9.82452
425,6.95725
426,-1.19945
427,4.42716
428,3.18746
429,3.5653
430,4.04015
431,4.13002
432,3.45603
433,3.84729
434,1.33769
435,1.84536
436,3.30038
437,8.39999
438,10.56536
439,6.52725
440,8.18343
441,6.00884
442,1.70994
443,2.72415
444,4.75698
445,6.51682
446,4.65757
447,0.69651
448,4.85798
449,-1.32643
450,9.66182
451,4.1073
452,7.06436
453,7.0989
454,-0.65801
455,8.13466
456,7.64809
457,1.82302
458,5.61648
459,2.5731
460,7.90731
461,14.00983
462,20.7517
463,4.26502
464,3.24975
465,1.75187
466,32.51787
467,5.29064
468,0.74381
469,3.60082
470,2.71559
471,11.46442
472,7.9061
473,5.18359
474,2.53207
475,3.41477
476,1.22001
477,2.69509
478,1.92475
479,6.41726
480,6.28443
481,6.68085
482,5.05805
483,-3.84698
484,0.26003
485,9.99173
486,4.65695
487,4.05262
488,6.64218
489,8.14791
490,8.9073
491,6.31891
492,8.63792
493,6.41995
494,7.19429
495,2.39765
496,5.58874
497,8.84274
498,5.05831
499,13.23888
500,27.11629
501,7.89377
502,8.86939
503,13.64292
504,15.61091
505,10.65223
506,7.98522
507,7.73822
508,5.67175
509,9.68283
510,7.50648
511,2.74425
512,8.77022
513,3.18335
514,8.2227
515,4.90914
516,4.58133
517,14.18984
518,14.79096
519,11.41398
520,10.70367
521,15.61628
522,14.60042
523,20.17064
524,15.60036
525,23.33639
526,23.65477
527,24.11194
528,31.18288
529,28.40005
530,35.47464
531,39.23133
532,55.17252
533,54.58274
534,58.92044
535,72.65766
536,83.88233
537,103.82497
538,113.13226
539,138.45861
540,154.46062
541,176.5058
542,221.57386
543,231.4699
544,275.22875
545,324.58224
546,385.66885
547,442.58167
548,525.2894
549,623.47551
550,749.26984
551,885.62369
552,1058.01385
553,1282.20062
554,1522.36915
555,1799.4741
556,1945.46579
557,2142.62031
558,2302.46051
559,2396.58424
560,2519.75344
561,2590.90344
562,2619.45916
563,2595.16118
564,2585.17164
565,2600.64188
566,2649.36
567,2660.35922
568,2645.55445
569,2573.97738
570,2463.94706
571,2314.08763
572,2207.46631
573,2067.0657
574,1908.00769
575,1768.62939
576,1618.80072
577,1519.89089
578,1409.68235
579,1293.22728
580,1226.58139
581,1171.50549
582,1078.84591
583,1031.06034
584,952.93148
585,893.63503
586,835.33213
587,769.36839
588,695.58675
589,660.46723
590,610.06444
