Capture_3:203,Unnamed: 3
350,-0.1897
351,-5.35253
352,-3.02341
353,3.42569
354,5.13995
355,1.87793
356,-1.08888
357,-1.49457
358,-1.20549
359,-1.27887
360,8.10339
361,-0.97729
362,0.44741
363,-2.58429
364,4.25695
365,17.44506
366,3.20908
367,2.95328
368,2.56153
369,0.49955
370,9.8742
371,6.42616
372,8.47183
373,14.11256
374,6.15665
375,2.93767
376,13.23858
377,2.34775
378,0.72333
379,4.10468
380,7.42029
381,20.14516
382,6.56508
383,1.31386
384,7.45748
385,6.7625
386,-0.76549
387,-0.58096
388,2.84655
389,6.97674
390,1.42451
391,5.98186
392,3.41936
393,-2.22628
394,-3.2445
395,5.50677
396,-0.65476
397,5.73223
398,3.97665
399,1.18445
400,2.26296
401,4.4917
402,-0.60621
403,8.87731
404,0.49866
405,2.22794
406,3.39106
407,-0.56753
408,-2.2312
409,-2.75513
410,10.34351
411,7.98615
412,8.48977
413,3.28692
414,1.98048
415,7.49242
416,13.4388
417,4.1113
418,4.98895
419,5.85201
420,-7.7157
421,4.49824
422,1.18651
423,2.93822
424,7.791
425,5.71021
426,2.46454
427,5.5008
428,-2.36495
429,0.31965
430,2.87551
431,3.20456
432,5.69568
433,2.43227
434,2.44275
435,2.44124
436,1.19989
437,-2.43559
438,3.75043
439,0.29267
440,9.55115
441,8.23865
442,4.61475
443,0.4392
444,3.8147
445,5.24903
446,0.70495
447,2.48363
448,-0.09163
449,-1.62967
450,10.14405
451,4.46993
452,5.89928
453,7.04216
454,4.93909
455,9.00783
456,0.58251
457,5.9433
458,5.17385
459,2.29677
460,3.23735
461,12.62028
462,22.7473
463,3.37091
464,2.2318
465,5.29449
466,26.0629
467,1.67173
468,-0.04272
469,2.9756
470,0.47441
471,9.83672
472,5.84984
473,6.35555
474,5.26529
475,5.17736
476,1.18122
477,6.28997
478,6.63465
479,11.50383
480,1.38788
481,2.47652
482,3.96085
483,1.66598
484,0.8603
485,5.35389
486,4.99057
487,6.58056
488,2.7659
489,7.24819
490,3.47789
491,7.56514
492,1.36643
493,-2.93398
494,6.02036
495,1.06857
496,-0.54568
497,5.12232
498,4.99378
499,10.18252
500,23.13813
501,10.68015
502,4.10474
503,21.38553
504,15.93456
505,-0.74327
506,5.00754
507,3.52449
508,1.76609
509,9.38784
510,6.79499
511,3.37041
512,10.62205
513,4.20076
514,8.45487
515,5.8828
516,0.56946
517,11.31248
518,6.98342
519,4.25162
520,4.32028
521,3.70759
522,9.85628
523,4.32807
524,1.48016
525,6.39434
526,6.3722
527,12.34304
528,6.3577
529,4.68488
530,9.84227
531,4.2937
532,9.20091
533,7.63849
534,9.17952
535,4.57967
536,11.00183
537,6.28389
538,9.54304
539,8.68953
540,9.35201
541,11.36088
542,14.87725
543,17.46089
544,17.8786
545,24.81388
546,21.81874
547,18.21686
548,28.88349
549,37.97698
550,49.08312
551,51.27656
552,62.46629
553,81.94243
554,97.93834
555,113.54404
556,122.56578
557,147.94978
558,173.89804
559,209.77721
560,234.04532
561,281.23886
562,333.72464
563,386.50492
564,471.42547
565,506.11594
566,586.04971
567,686.29158
568,776.17405
569,881.56116
570,1011.1811
571,1157.08343
572,1335.84366
573,1529.93949
574,1674.19722
575,1857.15564
576,2031.64665
577,2197.90891
578,2328.15198
579,2424.87648
580,2538.46069
581,2594.90994
582,2654.68567
