Capture_6:206,Unnamed: 9
350,-0.31826
351,0.35196
352,0.11701
353,1.68011
354,-1.83082
355,-0.34234
356,-2.4943
357,3.98828
358,-0.53994
359,1.03838
360,5.42273
361,0.26263
362,0.51577
363,4.24851
364,0.62859
365,10.22796
366,-0.86805
367,4.8384
368,4.67604
369,7.93778
370,3.44816
371,1.15897
372,1.96293
373,4.41844
374,1.06856
375,-4.57623
376,3.01083
377,4.93047
378,4.6955
379,3.9673
380,3.85668
381,8.311
382,6.76767
383,1.88495
384,6.08483
385,-1.00362
386,3.16316
387,3.86081
388,4.94996
389,5.52268
390,1.11128
391,3.25039
392,4.86534
393,7.04887
394,5.44215
395,3.46875
396,2.98372
397,0.50481
398,5.6343
399,1.29931
400,2.4505
401,4.93987
402,0.86715
403,4.91019
404,5.02683
405,4.92717
406,6.03569
407,8.97006
408,4.99137
409,8.83455
410,4.97172
411,5.56325
412,6.56838
413,4.96645
414,9.00956
415,3.5915
416,7.78756
417,4.03815
418,7.68922
419,8.95541
420,0.02092
421,4.70884
422,8.79077
423,2.57187
424,6.35259
425,3.92621
426,6.125
427,0.83877
428,5.62587
429,8.06783
430,7.4978
431,9.87497
432,10.97848
433,16.58907
434,14.21068
435,16.85256
436,20.14773
437,33.51649
438,26.35225
439,28.04343
440,31.96594
441,38.35781
442,44.46271
443,55.28512
444,62.26015
445,70.47707
446,85.59755
447,90.01438
448,118.23095
449,132.82087
450,152.94153
451,171.58584
452,198.85352
453,224.10242
454,280.67495
455,318.8838
456,377.42681
457,438.74131
458,493.28466
459,606.85308
460,711.91635
461,823.91605
462,964.84142
463,1138.52056
464,1282.01712
465,1468.26595
466,1695.62121
467,1830.56088
468,2024.90872
469,2210.40849
470,2330.30868
471,2439.25034
472,2566.60847
473,2600.3229
474,2600.62653
475,2555.17942
476,2458.0976
477,2345.30619
478,2262.75337
479,2171.79923
480,2106.63779
481,1955.81758
482,1892.0645
483,1868.20133
484,1776.21079
485,1731.80246
486,1624.72512
487,1585.56009
488,1513.27678
489,1443.29075
490,1373.23632
491,1291.42316
492,1189.9315
493,1124.23646
494,1041.12684
495,945.43274
496,867.89287
497,790.52796
498,714.50576
499,658.54925
500,608.31492
501,558.43053
502,515.04746
503,494.87819
504,458.64258
505,405.91891
506,382.29896
507,357.73531
508,322.04722
509,309.62971
510,275.385
511,258.96633
512,231.63136
513,207.7484
514,201.15695
515,167.13825
516,162.66063
517,148.37556
518,147.06912
519,126.19596
520,106.3271
521,100.83086
522,104.61788
523,87.22046
524,79.92217
525,69.71133
526,70.08697
527,58.66067
528,63.23924
529,50.41635
530,47.67149
531,34.08611
532,53.54369
533,38.87927
534,28.91486
535,27.35517
536,30.25565
537,21.92957
538,25.75134
539,21.61636
540,23.41836
